"Unique Response Number","1. Which age category do you belong to?","2. Where do you currently live?","3. What industry do you work in?","4. At what stage in your career are you?","5. Do you have children?","6. Are you currently working remotely?","7. What was your companies stance on working remotely before the pandemic?","8. What do you see as the biggest benefit of working remotely?","9. What is the biggest issue you see with working remotely?","10. Please rate how strongly you agree or disagree with the following statements:","10.1.a. I could do my job just as effectively working from home.","10.2.a. I am able to stick to a work schedule.","10.3.a. I am expected to respond to emails/messages immediately.","10.4.a. My company provides me with the tools and software necessary to make remote working possible.","10.5.a. I get the enough support from my manager.","10.6.a. I am able to connect with my manager as well as if I was in the office.","10.7.a. I feel that I am able to easily reach my colleagues.","10.8.a. I feel that my colleagues keep me in the loop.","10.9.a. I am happy with how frequently I interact with colleagues.","10.10.a. I feel that the remote working policy is clear.","10.11.a. I know what is expected of me every day.","10.12.a. My company communicates efficiently.","10.13.a. I am happy with my work-life balance.","10.14.a. I am happy with my ability to work from home.","11. Would you like to work remotely going forward?"
"669016-669007-68725236","18-24","South Africa","Software","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Full time in the office","Flexibility","Loneliness",,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Yes, part time"
"669016-669007-68725674","18-24","South Africa","Software","Entry level (less than 2 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Everone works remotely","Flexibility","Distractions",,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Yes, part time"
"669016-669007-68725808","35-44","South Africa","Finance and Insurance","Senior stage (more than 15 years in the workforce)","Yes","Yes, full time","Full time in the office","Time with family","Switching off after work",,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68726565","18-24","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Full time in the office","Time with family","Staying motivated",,"Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68728541","25-34","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, full time","I have the ability to work remotely as needed","Flexibility","Distractions",,"Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Yes, full time"
"669016-669007-68739605","25-34","South Africa","Scientific or Technical Services","Mid stage (5-15 years in the workforce","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","I have the ability to work remotely as needed","Flexibility","Switching off after work",,"Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Yes, part time"
"669016-669007-68741704","25-34","South Africa","Health","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","I have the ability to work remotely as needed","Working from any location","Collaboration and Communication",,"Agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Yes, part time"
"669016-669007-68743393","25-34","South Africa","Other","Junior Level (2-5 years in the workforce)","No","Yes, part time","Half the team work at the office and half work remotely","Flexibility","Switching off after work",,"Agree","Disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Yes, part time"
"669016-669007-68755463","25-34","South Africa","Software","Junior Level (2-5 years in the workforce)","No","Yes, full time","Full time in the office","Flexibility","Loneliness",,"Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68763872","25-34","South Africa","Education","Junior Level (2-5 years in the workforce)","No","Yes, full time","Full time in the office","Working from home","Collaboration and Communication",,"Strongly agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68774020","35-44","South Africa","Information Services and Data Processing","Senior stage (more than 15 years in the workforce)","Yes","Yes, full time","Full time in the office","Working from home","Switching off after work",,"Strongly agree","Strongly agree","Disagree","Strongly agree","Disagree","Neither agree nor disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Yes, full time"
"669016-669007-68777704","25-34","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, part time","Full time in the office","Flexibility","Switching off after work",,"Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Yes, part time"
"669016-669007-68779285","25-34","South Africa","Finance and Insurance","Mid stage (5-15 years in the workforce","Yes","Yes, part time","Full time in the office","Flexibility","Switching off after work",,"Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Yes, part time"
"669016-669007-68784724","25-34","South Africa","Hotel and Food Services","Mid stage (5-15 years in the workforce","Yes","No","Full time in the office","Flexibility","Distractions",,"Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes, part time"
"669016-669007-68784919","25-34","South Africa","Freelance","Entry level (less than 2 years in the workforce)","No","Yes, full time","Everone works remotely","Working from any location","Switching off after work",,"Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Yes, full time"
"669016-669007-68785577","25-34","New Zealand","Finance and Insurance","Mid stage (5-15 years in the workforce","No","Yes, part time","I have the ability to work remotely as needed","Flexibility","Staying motivated",,"Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Yes, part time"
"669016-669007-68789780","25-34","South Africa","Other","Mid stage (5-15 years in the workforce","No","No","Full time in the office","Flexibility","Switching off after work",,"Neither agree nor disagree","Strongly agree","Disagree","Agree","Agree","Disagree","Agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Neither agree nor disagree","Yes, full time"
"669016-669007-68791932","25-34","South Africa","Hotel and Food Services","Junior Level (2-5 years in the workforce)","No","No","Everone works remotely","Flexibility","Collaboration and Communication",,"Strongly agree","Strongly agree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes, full time"
"669016-669007-68794888","25-34","South Africa","Finance and Insurance","Junior Level (2-5 years in the workforce)","No","Yes, full time","I have the ability to work remotely as needed","Flexibility","Staying motivated",,"Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Yes, part time"
"669016-669007-68795242","25-34","United Kingdom","Professional Services","Mid stage (5-15 years in the workforce","No","Yes, full time","Half the team work at the office and half work remotely","Working from home","Distractions",,"Strongly agree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Yes, full time"
"669016-669007-68799483","25-34","Canada","Health","Junior Level (2-5 years in the workforce)","No","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","I have the ability to work remotely as needed","Flexibility","Loneliness",,"Strongly agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Yes, part time"
"669016-669007-68801335","25-34","Vietnam","Other","Junior Level (2-5 years in the workforce)","No","Yes, part time","I have the ability to work remotely as needed","Other","Collaboration and Communication",,"Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Yes, part time"
"669016-669007-68801687","25-34","South Africa","Arts, Entertainment, and Recreation","Mid stage (5-15 years in the workforce","No","No","Everone works remotely","Flexibility","Distractions",,"Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Yes, part time"
"669016-669007-68802161","25-34","South Africa","Software","Mid stage (5-15 years in the workforce","No","Yes, full time","Everone works remotely","Working from any location","Switching off after work",,"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Yes, part time"
"669016-669007-68803237","25-34","South Africa","Construction","Mid stage (5-15 years in the workforce","No","No","Full time in the office","Working from any location","Collaboration and Communication",,"Neither agree nor disagree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Yes, part time"
"669016-669007-68836149","45-54","United States of America","Information Services and Data Processing","Senior stage (more than 15 years in the workforce)","Yes","Yes, full time","I have the ability to work remotely as needed","Flexibility","Switching off after work",,"Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Yes, part time"
"669016-669007-68858159","25-34","South Africa","Software","Mid stage (5-15 years in the workforce","No","No","I have the ability to work remotely as needed","Flexibility","Distractions",,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Yes, part time"
"669016-669007-68878513","25-34","South Africa","Professional Services","Mid stage (5-15 years in the workforce","No","No","Full time in the office","Flexibility","Distractions",,"Strongly agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","No"
"669016-669007-68901046","25-34","South Africa","Information Services and Data Processing","Mid stage (5-15 years in the workforce","No","Yes, full time","Full time in the office","Working from home","Switching off after work",,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","No"
"669016-669007-69202429","55-64","South Africa",,"Re-entry (returning to work after a career break)","Yes","Yes, full time","I have the ability to work remotely as needed","Working from home","Switching off after work",,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes, part time"
"669016-669007-69273874","25-34","South Africa","Professional Services","Entry level (less than 2 years in the workforce)","No","Yes, part time","Full time in the office","Flexibility","Switching off after work",,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Yes, part time"
"669016-669007-69341837","35-44","South Africa","Finance and Insurance","Senior stage (more than 15 years in the workforce)","Yes","Yes, due to COVID-19 restrictions but will return to full time once the pandemic has passed","Full time in the office","Time with family","Switching off after work",,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly agree","Yes, full time"
"669016-669007-69356932","25-34","South Africa","Construction","Junior Level (2-5 years in the workforce)","No","Yes, part time","Full time in the office","Flexibility","Loneliness",,"Agree","Strongly agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Yes, part time"
